,Sale Date,Sale Amount,Currency unit,Sold Location,Source,Year,Make,Model
0,2022-05-10,140000,GBP,Great Britain,collectingcars.com,1996,Nissan,Skyline (R33) GT-R
1,2022-01-26,221500,AUD,Australia,collectingcars.com,1996,Nissan,Skyline (R33) GT-R
2,2021-10-21,100000,GBP,Great Britain,collectingcars.com,1996,Nissan,Skyline (R33) GT-R
3,2021-07-13,310000,USD,USA,bringatrailer.com,1996,Nissan,Skyline (R33) GT-R
4,2021-06-22,315187,USD,USA,bringatrailer.com,1996,Nissan,Skyline (R33) GT-R
5,2017-11-11,29000,GBP,Great Britain,silverstoneauctions.com,1996,Nissan,Skyline (R33) GT-R
6,2017-09-06,25300,GBP,Great Britain,rmsothebys.com,1996,Nissan,Skyline (R33) GT-R
7,2022-06-29,63500,AUD,Australia,collectingcars.com,1996,Nissan,Skyline (R33) GT-R
8,2022-05-13,58000,USD,USA,bringatrailer.com,1995,Nissan,Skyline (R33) GT-R
9,2022-05-01,57500,USD,USA,bringatrailer.com,1996,Nissan,Skyline (R33) GT-R
10,2022-04-21,49995,USD,USA,carsandbids.com,1995,Nissan,Skyline (R33) GT-R
11,2022-03-29,83500,USD,USA,bringatrailer.com,1995,Nissan,Skyline (R33) GT-R
12,2022-01-16,129000,USD,USA,bringatrailer.com,1971,Nissan,Skyline
13,2021-08-23,95959,USD,USA,bringatrailer.com,1971,Nissan,Skyline
14,2019-02-04,63500,USD,USA,bringatrailer.com,1971,Nissan,Skyline
15,2018-08-23,75900,USD,USA,mecum.com,1971,Nissan,Skyline
16,2017-01-23,126000,USD,USA,bringatrailer.com,1971,Nissan,Skyline
17,2022-07-15,67500,USD,USA,bringatrailer.com,1970,Dodge,Charger R/T
18,2022-06-30,85800,USD,USA,barrettjackson.com,1970,Dodge,Charger R/T
19,2022-05-02,104000,USD,USA,gatewayclassiccars.com,1970,Dodge,Charger R/T
20,2022-04-09,119900,USD,USA,barrettjackson.com,1970,Dodge,Charger R/T
21,2022-01-29,132000,USD,USA,barrettjackson.com,1970,Dodge,Charger R/T
22,2022-07-02,122000,USD,USA,bringatrailer.com,1994,Toyota,Supra
23,2022-05-29,40050,GBP,Great Britain,collectingcars.com,1994,Toyota,Supra
24,2022-05-19,140000,USD,USA,mecum.com,1994,Toyota,Supra
25,2022-05-08,98500,USD,USA,bringatrailer.com,1994,Toyota,Supra
26,2022-05-01,72000,CAD,Canada,bringatrailer.com,1994,Toyota,Supra
27,2021-09-04,89600,USD,USA,worldwideauctioneers.com,1970,Dodge,Charger R/T
