Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class,Film,Film Order,Role
1965 Ford GT40,Ford,Ford,GT40,Unknown,Discontinued,Sports Car,Fast Five,FF5,Minor
1966 Chevrolet Corvette Grand Sport Sting Ray,Chevrolet (General Motors),Chevrolet,Corvette Sting Ray,1962-1967,Discontinued,"2-door convertible, 2-door coupe",Fast Five,FF5,Minor
1967 Chevrolet C/K,General Motors,Chevrolet,C-10,Discontinued,Discontinued,Pickup truck,Fast & Furious,FF4,Minor
1967 Chevrolet Camaro SS,General Motors,Chevrolet,Chevrolet Camaro SS,1967,Discontinued,"Pony car, Muscle car",Fast & Furious 6,FF6,Minor
1967 Chevrolet Camaro Z28,General Motors,Chevrolet,Chevrolet Camaro Z28,1967,Discontinued,Customized,Furious 7,FF7,Major
1967 Ford Mustang Fastback,Ford Motor Corporation,Ford,Mustang Fastback,1967,In Production,Pony car,The Fast and the Furious: Tokyo Drift,FF3,Major
1968 Dodge Charger Hellacious,Chrysler,Dodge,Charger Hellacious,1968,Discontinued,Muscle,F9,FF9,Major
1968 Dodge Charger R/T,Chrysler,Dodge,Charger R/T,1968-1970,Discontinued,Pony car,"Furious 7, The Fate of the Furious, F9","FF7, FF8, FF9",Major
1969 Dodge Charger Daytona,Dodge (Chrysler),Dodge,Charger Daytona,1969,Discontinued,Muscle car,Fast & Furious 6,FF6,Minor
1969 Ford Mustang Fastback,Ford,Ford,Mustang Fastback,1969,In Production,Classic Muscle/Pony car,Fast & Furious 6,FF6,Major
1969 Yenko Camaro SYC,General Motors,Chevrolet,Yenko Camaro,1969,Discontinued,"Pony car, Muscle car, Sports car",2 Fast 2 Furious,FF2,Major
1970 Chevrolet Chevelle SS,General Motors,Chevrolet,Chevelle SS,1970,Discontinued,Mid-size,"The Fast and the Furious, Fast & Furious, The Fate of the Furious","FF1, FF4, FF8",Major
1970 Chevrolet Monte Carlo,General Motors,Chevrolet,Monte Carlo,1970,Discontinued,"2 hardtop, Coupe",2 Fast 2 Furious,FF2,Minor
1970 Dodge Challenger R/T,Dodge,Dodge,Challenger R/T,1970- present,In Production,Classic Muscle/ Pony car,2 Fast 2 Furious,FF2,Minor
1970 Dodge Charger R/T,Chrysler,Dodge,Charger R/T,1970,In Production,Pony car,"The Fast and the Furious, Fast & Furious, Fast Five, Furious 7, F9","FF1, FF4, FF5, FF7, FF9",Major
1970 Ford Escort MK I RS1600,Ford Motorworks,Ford,Escort MK I,1968-1978,Discontinued,Sports/Rally car,Fast & Furious 6,FF6,Minor
1970 Plymouth Barracuda,Chrysler Corporation,Plymouth,Barracuda,1964-1974,Discontinued,Pony car,"Fast & Furious 6, Furious 7","FF6, FF7",Minor
1970 Plymouth Road Runner,Plymouth,Plymouth,Road Runner,1968-1980,Discontinued,Muscle car,"The Fast and the Furious: Tokyo Drift, Fast & Furious, Fast & Furious 6, Furious 7","FF3, FF4, FF6",Major
1971 Chevrolet Monte Carlo,General Motors,Chevrolet,Monte Carlo,1971,Discontinued,Coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor
1971 Ford Maverick,Ford,Ford,Maverick,Unknown,Discontinued,N/A,Fast Five,FF5,Minor
1971 Jensen Interceptor,Carrozzeria Touring,Jensen,Interceptor,1971[1],Discontinued,Luxury carGrand Tourer,Fast & Furious 6,FF6,Minor
1971 Nissan Skyline GT-R KPGC10,Nissan,Nissan,Skyline GT-R,1971,Discontinued,2-door coupe,Fast Five,FF5,Minor
1972 De Tomaso Pantera GTS,De Tomaso,De Tomaso,Pantera GTS,1971-1992,Discontinued,2-door Coupé,Fast Five,FF5,Minor
1972 Ford Gran Torino Sport,Ford,Ford,Gran Torino Sport,1972,Discontinued,2 Door Muscle,Fast & Furious,FF4,Minor
1973 Chevrolet Camaro RS-Z28 F-Bomb,General Motors,Chevrolet,Camaro RS Z28,1973,Discontinued,N/A,Fast & Furious,FF4,Minor
1978 Pontiac Trans Am,Pontiac,Pontiac,Trans Am,1967-2002,Discontinued,Pony CarMuscle Car,"Fast & Furious, Fast Five","FF4, FF5",Minor
1984 Pontiac Fiero,Pontiac,Pontiac,Fiero,1984,N/A,Notchback Coupe,F9,FF9,Major
1987 Buick Grand National,Buick (General Motors),Buick,Regal (Grand National),1987,Discontinued,Mid-size,Fast & Furious,FF4,Minor
1992 Honda Civic Hatchback,Honda/Acura,Honda,Civic,1992,Discontinued,Hatchback,The Fast and the Furious,FF1,Minor
1993 Freightliner FLA 86 64 T,Peterbilt,Peterbilt,FLA 86 64,1993,Discontinued,Semi Truck,The Fast and the Furious,FF1,Minor
1993 Honda Civic EJ1,Honda,Honda,Civic,1993[1][2][3],In Production,2-door coupe,The Fast and the Furious,FF1,Minor
1993 Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,1993,Discontinued,2-door coupe,2 Fast 2 Furious,FF2,Minor
1993 Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,1993,Discontinued,2-door coupe,The Fast and the Furious,FF1,Major
1993 Toyota Supra Turbo MK IV,Toyota,Toyota,Supra Turbo MK IV,1993[1][2][3],Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor
1994 Acura Integra,Honda,Acura,Integra,1994,Discontinued,Sedan,The Fast and the Furious,FF1,Minor
