,Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class
0,1966 Chevrolet Corvette Grand Sport Sting Ray,Chevrolet (General Motors),Chevrolet,Corvette Grand Sport Sting Ray,1962-1967,Discontinued,"2-door convertible, 2-door coupe"
1,1967 Chevrolet C/K,General Motors,Chevrolet,C-10,Discontinued,Active,Pickup truck
2,1967 Chevrolet Camaro SS,General Motors,Chevrolet,Chevrolet Camaro SS,1967,Discontinued,"Pony car, Muscle car"
3,1967 Chevrolet Camaro Z28,General Motors,Chevrolet,Chevrolet Camaro Z28,1967,Discontinued,Customized
4,1967 Ford Mustang Fastback,Ford Motor Corporation,Ford Mustang,"""Fastback""",1967,In Production,Pony car
5,1968 Dodge Charger Hellacious,Speedkore,Dodge,Charger Hellacious,1968,Active,Muscle
6,1968 Dodge Charger R/T,Chrysler,Dodge,Charger R/T,1968-1970,Discontinued,Pony car
7,1969 Ford Mustang Fastback,Ford,Ford Mustang,"""Fastback""",1969,In production,Classic Muscle/Pony car
8,1969 Yenko Camaro SYC,General Motors,Yenko, Camaro,1969,Discontinued,"Pony car, Muscle car, Sports car"
9,1970 Chevrolet Chevelle SS,ChevroletGeneral Motors,Chevrolet,1970 Chevrolet Chevelle SS 454,1970,Discontinued,Mid-size
10,1970 Chevrolet Monte Carlo,General Motors,Chevrolet,"Monte Carlo, First generation",1970,Discontinued,"2 hardtop, Coupe"
11,1970 Dodge Challenger R/T,Dodge,Dodge,1970 Challenger R/T,1970- present,Active,Classic Muscle/ Pony car
12,1970 Dodge Charger R/T,Chrysler,Dodge,Dodge Charger R/T,1970,Discontinued,Pony car
13,1970 Plymouth Barracuda,Chrysler Corporation,Plymouth,Barracuda,1964-1974,Discontinued,Pony car
14,1971 Chevrolet Monte Carlo,General Motors,Chevrolet,Monte Carlo,1971,Discontinued,Coupe
15,1971 Nissan Skyline GT-R KPGC10,Prince Motor Company,Nissan,Nissan Skyline GT-R (KPGC10),1971,Discontinued,2-door coupe
16,1972 De Tomaso Pantera GTS,De Tomaso,Pantera,1971-1992,Unknown,Sports Car,2-door Coupé
17,1972 Ford Gran Torino Sport,Ford,Ford,1972 Ford Gran Torino,Discontinued,Classic American Muscle,2 Door Muscle
18,1973 Chevrolet Camaro RS-Z28 F-Bomb,General Motors,Chevrolet,RS Z28 F-Bomb,Discontinued,Dominic Toretto,Pursuing Brian & DomKilling Fenix
19,1987 Buick Grand National,Buick (General Motors),Buick,Regal (Grand National),1987,Discontinued,Mid-size
20,1992 Honda Civic Hatchback,Honda/Acura,Honda,Civic,1992,Discontinued,Hatchback
21,1993 Freightliner FLA 86 64 T,Peterbilt,Peterbilt,FLA 86 64,Stolen and presumably abandoned,Semi Truck,White
22,1993 Honda Civic EJ1,Honda,Civic,1.8 Spoon VTEC,Vader-Style Body kitsViS Racing Bomber GT body kits,Mashimoto ZX,4OZR093 (Dom's) 4ISX433 (Letty's) 4QMU951 (Leon's)
23,1993 Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,Discontinued,Sports car,2-door coupe
24,1993 Mazda RX-7,Mazda,RX-7 FD,Discontinued,Sports car,2-door coupe,13B 1.3L Twin turbo 255 hp twin-rotor
25,1993 Toyota Supra Turbo MK IV,Toyota,Toyota,Toyota Supra Turbo MK IV[1],1993[1][2][3],Discontinued,Sports car
26,1994 Toyota Supra MK IV,Toyota,Toyota,Toyota Supra MK IV,1994[1],Discontinued,Sports Car
27,1995 Mitsubishi Eclipse,"Diamond-Star Motors, Mitsubishi Motors Corporation",Mitsubishi,Eclipse GS[1],1995[2][3],Discontinued,Sports Compact
28,1995 Nissan Skyline GT-R R33,Nissan Motor Company,Nissan,Nissan Skyline GT-R R33,1995,Discontinued,2-door coupe
29,1995 Toyota Supra MK IV,Toyota,Toyota,Supra MK IV,1995[1][2],Discontinued,Sports car
30,1995 Volkswagen Jetta,Volkswagen,VolksWagen,"Jetta (A3, Typ 1H)",1995- Present,Active,Sedan
31,1996 Nissan Skyline GT-R R33,Nissan Motor Company,Nissan,Nissan Skyline GT-R R33,1996,Discontinued,2-door coupe
32,1997 Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,1997[1],Discontinued,Sports car
33,1997 Nissan 240SX,Nissan Motor Company,Nissan,240SX,1995-1998,Discontinued,Sport compact
34,1999 Nissan Maxima (A32),Nissan Motor Company,Nissan,Maxima (A32),1994-1999,Discontinued,Mid-size
35,1999 Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Nissan Skyline GT-R R34,1999-2002,Discontinued,Sport compact/Midsize
36,1999 Toyota Supra MK IV JDM,Toyota,Supra,1999,Discontinued,Black,Testing the mockup track for The Rio Heist
37,2 Fast 2 Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A
38,2000 Acura NSX,Honda,Acura,Acura NSX,2000,Discontinued,Sports car
39,2000 Honda S2000,Honda,Honda S2000,2000[1][2],Discontinued,"Sports car,Roadster",Honda F20C (originally) Nissan SR20DET
40,2000 Honda S2000,Honda Motorworks,Honda,Honda S2000,2000[1],Discontinued,"Sports car,Roadster"
41,2001 BMW 540i E39,BMW,540i,E39 M5,2001,Rolled over and crashed,4 Door Sedan
42,2001 Nissan Silvia S15 Spec-S,Nissan,Nissan Silvia,Nissan Silvia S15 Spec-S,2001,Discontinued,2-door coupeSports car
43,2002 Hummer H1,Hummer,H1,SUV,Brian O'Conner,Fast & Furious,N/A
44,2002 Mitsubishi Lancer Evolution VII,Mitsubishi Motors Corporation,Mitsubishi,Mitsubishi Lancer Evolution VII,2002[1][2],Discontinued,Sports compact
45,2002 Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Nissan Skyline R34 GT-R,2002,Discontinued,2-door coupe
46,2003 Acura NSX,Honda,Acura,NSX,2003,Discontinued,Sports
47,2003 Mitsubishi Eclipse Spyder,Mitsubishi Motors,Mitsubishi,Eclipse Spyder,2003[1],Discontinued,Sports compact
48,2003 Mitsubishi Eclipse Spyder GTS,Mitsubishi Motors Corporation,Mitsubishi,Eclipse Spyder GTS,2003[1][2],Discontinued,Sports compact
49,2003 Saleen S281-E Mustang,Ford,Saleen,Mustang,2003,Crushed by a Semi-Truck,Muscle
50,2004 Aston Martin DB9,Aston Martin,DB9,2004-2016,Survived,Grand tourer (S),2+2 seat 2-door coupé2-door convertible
51,2005 Aston Martin DB9,Aston Martin,DB9,2004-2016,Destroyed,Grand tourer (S),2+2 seat 2-door coupé2-door convertible
52,2005 Volkswagen Touran,Volkswagen,Touran,2005,Discontinued,Van,Green Paint with Hulk Decal
53,2006 Dodge Charger LX (PPV),Fiat Chrysler Automobiles,Dodge,Charger PPV,2006,Discontinued,Muscle
54,2006 Mitsubishi Lancer Evolution IX,Mitsubishi,Lancer Evolution IX,"2-liter, turbocharged, DOHC 4G63 engine in stock trim; RMR air intake and exhaust systems",APR body kit and rear spoiler; APR Racing carbon-fiber side mirrors,RAYS G-Games 99B 19-by-8.5”,255/35R19 Toyo Proxes T1R
55,2008 Ford Mustang GT Tjaarda 550R,Ford,GT Tjaarda 550R,Mustang,2008,Destroyed,Muscle
56,2009 Nissan 370Z,Nissan,370Z (Z34),Gisele Yashar,Racing Practice for Vault heist,Survived,Fast Five
57,2009 Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,2007 (film)[1]2009[2],In Production,2-door 2+2 coupé
58,2009 Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX STi GH,2009,Discontinued,Compact Car
59,2010 Dodge Charger SRT-8,Dodge,Dodge,Charger SRT-8,Matte Black,Dominic TorettoBrian O'Conner,Vault Heist
60,2010 Koenigsegg CCXR,Koenigsegg,CCXR,2010,Discontinued,Sports Car,2 door larga top
61,2010 Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,2010[1],In production,2-door 2+2 coupé
62,2011 Bugatti Veyron,Bugatti Automobiles S.A.S.,Bugatti,Veyron 16.4,2005–2011,Discontinued,Super car
63,2011 Dodge Challenger SRT,Fiat Chrysler Automobiles,Dodge,Challenger SRT,Active,Full-size pony car,Letty Ortiz
64,2011 Dodge Charger PPV,Dodge (Chrysler),Dodge,Charger LX,Dominic Toretto Brian O'Conner Roman Pearce Han Seoul-Oh,Million dollar quarter mile race Shunting Rio cop cars out of the way,Transformed into 2010 Dodge Charger SRT-8 (two) Survived (two)
65,2011 Lexus LFA,Lexus,LFA,2011,Discontinued,Sports car,4.8-liter V10 72-degree bank angle
