,Year,Car Name,Manufacturer,Make,Model,Status,Car_Class,Film,Film Order,Role,Car Count,Car Sales Count,mean,min,max,Min Sale Date,Max Sale Date
0,1965,Ford GT40,Ford,Ford,GT40,Discontinued,Sports Car,Fast Five,FF5,Minor,1,2.0,7290000.0,6930000.0,7650000.0,2014-08-16 00:00:00,2019-08-16 00:00:00
1,1966,Chevrolet Corvette Grand Sport Sting Ray,Chevrolet (General Motors),Chevrolet,Corvette Sting Ray,Discontinued,"2-door convertible, 2-door coupe",Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
2,1967,Chevrolet C/K,General Motors,Chevrolet,C-10,Discontinued,Pickup truck,Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
3,1967,Chevrolet Camaro SS,General Motors,Chevrolet,Chevrolet Camaro SS,Discontinued,"Pony car, Muscle car",Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
4,1967,Chevrolet Camaro Z28,General Motors,Chevrolet,Chevrolet Camaro Z28,Discontinued,Customized,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
5,1967,Ford Mustang Fastback,Ford Motor Corporation,Ford,Mustang Fastback,In Production,Pony car,The Fast and the Furious: Tokyo Drift,FF3,Major,1,23.0,58060.86956521739,27500.0,148500.0,2017-07-20 00:00:00,2020-11-14 00:00:00
6,1968,Dodge Charger Hellacious,Chrysler,Dodge,Charger Hellacious,Discontinued,Muscle,F9,FF9,Major,1,0.0,0.0,0.0,0.0,0,0
7,1968,Dodge Charger R/T,Chrysler,Dodge,Charger R/T,Discontinued,Pony car,"Furious 7, The Fate of the Furious, F9","FF7, FF8, FF9",Major,1,0.0,0.0,0.0,0.0,0,0
8,1969,Dodge Charger Daytona,Dodge (Chrysler),Dodge,Charger Daytona,Discontinued,Muscle car,Fast & Furious 6,FF6,Minor,1,4.0,209750.0,159500.0,245000.0,2016-01-27 00:00:00,2021-05-26 00:00:00
9,1969,Ford Mustang Fastback,Ford,Ford,Mustang Fastback,In Production,Classic Muscle/Pony car,Fast & Furious 6,FF6,Major,1,6.0,58866.666666666664,19000.0,100000.0,2011-08-19 00:00:00,2022-07-30 00:00:00
10,1969,Yenko Camaro SYC,General Motors,Chevrolet,Yenko Camaro,Discontinued,"Pony car, Muscle car, Sports car",2 Fast 2 Furious,FF2,Major,1,24.0,240864.58333333334,99000.0,330000.0,2018-04-07 00:00:00,2017-05-19 00:00:00
11,1970,Chevrolet Chevelle SS,General Motors,Chevrolet,Chevelle SS,Discontinued,Mid-size,"The Fast and the Furious, Fast & Furious, The Fate of the Furious","FF1, FF4, FF8",Major,1,0.0,0.0,0.0,0.0,0,0
12,1970,Chevrolet Monte Carlo,General Motors,Chevrolet,Monte Carlo,Discontinued,"2 hardtop, Coupe",2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
13,1970,Dodge Challenger R/T,Dodge,Dodge,Challenger R/T,In Production,Classic Muscle/ Pony car,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
14,1970,Dodge Charger R/T,Chrysler,Dodge,Charger R/T,In Production,Pony car,"The Fast and the Furious, Fast & Furious, Fast Five, Furious 7, F9","FF1, FF4, FF5, FF7, FF9",Major,1,63.0,84786.98412698413,37000.0,352000.0,2016-04-15 00:00:00,2021-05-22 00:00:00
15,1970,Ford Escort MK I RS1600,Ford Motorworks,Ford,Escort MK I,Discontinued,Sports/Rally car,Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
16,1970,Plymouth Barracuda,Chrysler Corporation,Plymouth,Barracuda,Discontinued,Pony car,"Fast & Furious 6, Furious 7","FF6, FF7",Minor,1,0.0,0.0,0.0,0.0,0,0
17,1970,Plymouth Road Runner,Plymouth,Plymouth,Road Runner,Discontinued,Muscle car,"The Fast and the Furious: Tokyo Drift, Fast & Furious, Fast & Furious 6, Furious 7","FF3, FF4, FF6",Major,1,0.0,0.0,0.0,0.0,0,0
18,1971,Chevrolet Monte Carlo,General Motors,Chevrolet,Monte Carlo,Discontinued,Coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,17.0,23311.764705882353,8800.0,50600.0,2014-08-31 00:00:00,2022-01-26 00:00:00
